epoch,loss
0,0.35383752
1,25.594711
2,4.8351383
3,0.022088166
4,1.6728151
5,1.5289102
6,0.39689195
7,0.1282457
8,0.40946183
9,0.53034794
10,0.35515374
11,0.10209729
12,0.058555484
13,0.22282797
14,0.2943375
15,0.19403544
16,0.06755972
17,0.032856643
18,0.08038676
19,0.13596591
20,0.1474587
21,0.113000065
22,0.06430331
23,0.035535343
24,0.03936749
25,0.06312029
26,0.08362357
27,0.08563762
28,0.06976504
29,0.04799813
30,0.033549
31,0.032393694
32,0.040980138
33,0.05032909
34,0.052828196
35,0.046820693
36,0.036459394
37,0.027897863
38,0.02498204
39,0.027279813
40,0.031226384
41,0.032986734
42,0.030869566
43,0.025940541
44,0.020862008
45,0.017973559
46,0.017875288
47,0.01931748
48,0.02030347
49,0.019521313
50,0.017094947
51,0.014250599
52,0.012304473
53,0.011774245
54,0.012186062
55,0.012571255
56,0.0121918805
57,0.010980867
58,0.00946678
59,0.008321235
60,0.007883454
61,0.007981238
62,0.008129315
63,0.007915676
64,0.0072767176
65,0.006481654
66,0.005883309
67,0.005652565
68,0.0056886855
69,0.005737896
70,0.0055990797
71,0.005256269
72,0.0048570554
73,0.0045777056
74,0.0044892184
75,0.0045214556
76,0.0045371633
77,0.004444524
78,0.0042576054
79,0.00406693
80,0.003956998
81,0.0039424854
82,0.0039686356
83,0.00396457
84,0.0038998441
85,0.0038004052
86,0.00371842
87,0.003686734
88,0.003695908
89,0.0037084122
90,0.003692925
91,0.0036480764
92,0.0035981832
93,0.0035689212
94,0.0035660625
95,0.0035740584
96,0.0035723
97,0.0035527607
98,0.0035243153
99,0.0035023752
100,0.0034948331
101,0.0034966487
102,0.003496245
103,0.003486378
104,0.0034695042
105,0.0034539662
106,0.003445765
107,0.0034437652
108,0.003441903
109,0.003435289
110,0.0034242438
111,0.003413102
112,0.003405684
113,0.0034019938
114,0.0033988722
115,0.0033933523
116,0.0033852833
117,0.0033769624
118,0.003370628
119,0.0033664317
120,0.0033626647
121,0.0033576395
122,0.0033512253
123,0.0033446979
124,0.0033392997
125,0.0033350962
126,0.0033311124
127,0.0033264253
128,0.0033210188
129,0.003315632
130,0.0033109267
131,0.0033068664
132,0.0033028726
133,0.0032984675
134,0.003293715
135,0.00328906
136,0.0032848231
137,0.0032809172
138,0.0032769947
139,0.0032728366
140,0.0032685376
141,0.0032643583
142,0.0032604372
143,0.0032566704
144,0.00325286
145,0.0032489242
146,0.0032449572
147,0.003241106
148,0.0032374067
